function_code,function,category_code,category,subcategory,raw_coverage,weighted_coverage,unique_coverage,techniques_covered,greedy_rank,marginal_at_rank
DE,DETECT,DE.AE,Adverse Event Analysis,DE.AE-02,27,2.63,0.0,T1003;T1021.001;T1041;T1046;T1053.005;T1059.001;T1059.003;T1071.001;T1078;T1078.004;T1098;T1105;T1110.003;T1110.004;T1133;T1136.001;T1189;T1190;T1204.002;T1219;T1486;T1489;T1490;T1552;T1566;T1566.001;T1566.002,12,0.0
DE,DETECT,DE.AE,Adverse Event Analysis,DE.AE-03,27,2.63,0.0,T1003;T1021.001;T1041;T1046;T1053.005;T1059.001;T1059.003;T1071.001;T1078;T1078.004;T1098;T1105;T1110.003;T1110.004;T1133;T1136.001;T1189;T1190;T1204.002;T1219;T1486;T1489;T1490;T1552;T1566;T1566.001;T1566.002,8,0.0
DE,DETECT,DE.AE,Adverse Event Analysis,DE.AE-04,0,0.0,0.0,,,0.0
DE,DETECT,DE.AE,Adverse Event Analysis,DE.AE-06,1,0.29,0.0,T1190,49,0.0
DE,DETECT,DE.AE,Adverse Event Analysis,DE.AE-07,1,0.29,0.0,T1190,48,0.0
DE,DETECT,DE.AE,Adverse Event Analysis,DE.AE-08,0,0.0,0.0,,,0.0
DE,DETECT,DE.CM,Continuous Monitoring,DE.CM-01,28,2.68,0.0,T1003;T1021.001;T1041;T1046;T1053.005;T1059.001;T1059.003;T1071.001;T1078;T1078.004;T1098;T1105;T1110.003;T1110.004;T1133;T1136.001;T1189;T1190;T1204.002;T1219;T1486;T1489;T1490;T1552;T1566;T1566.001;T1566.002;T1567.002,4,0.0
DE,DETECT,DE.CM,Continuous Monitoring,DE.CM-02,18,1.59,0.0,T1003;T1041;T1046;T1071.001;T1078;T1078.004;T1105;T1110.003;T1110.004;T1189;T1190;T1204.002;T1219;T1489;T1552;T1566;T1566.001;T1566.002,22,0.0
DE,DETECT,DE.CM,Continuous Monitoring,DE.CM-03,25,1.99,0.0,T1003;T1021.001;T1041;T1046;T1053.005;T1059.001;T1059.003;T1071.001;T1078;T1078.004;T1098;T1105;T1110.003;T1110.004;T1136.001;T1189;T1190;T1204.002;T1219;T1489;T1490;T1552;T1566;T1566.001;T1566.002,16,0.0
DE,DETECT,DE.CM,Continuous Monitoring,DE.CM-06,27,2.63,0.0,T1003;T1021.001;T1041;T1046;T1053.005;T1059.001;T1059.003;T1071.001;T1078;T1078.004;T1098;T1105;T1110.003;T1110.004;T1133;T1136.001;T1189;T1190;T1204.002;T1219;T1486;T1489;T1490;T1552;T1566;T1566.001;T1566.002,13,0.0
